Nombre,Región,Comuna,Dirección,Contacto,Teléfono,Correo,Capacitaciones,Préstamos,Acceso a Internet,,
Biblioteca Pública 075 BC1,Biobío,Nacimiento,Avenida Santa Margarita Esquina La Cruz s/n s/n,Orietta Stella Terán,988346296,b075bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 391 BC1,Biobío,Negrete,"Avenida Emilio Serrano , Negrete 2",Yanet Del Carmen Altamirano,432551501,b391bc@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 033 BC1,Biobío,Penco,Avenida Freire 600,Valentina Noemí Díaz,412455506,bibliotecadepenco@hotmail.com,SI,SI,SI,,
Biblioteca Pública 265 BC1,Biobío,Quilaco,,,,,NO ,SI,SI,,
Biblioteca Pública 517 BC1,Biobío,San Pedro de la Paz,Calle Colo Colo 249,Katherine Andrea Ortega,,kat.ortega.silva@gmail.com,SI,SI,SI,,
Biblioteca Pública 272 BC1,Biobío,San Rosendo,Avenida Balmaceda 41,Funny Karina Inostroza,,bibliotecapublicasanrosendo@gmail.com,SI,SI,SI,,
Biblioteca Pública 061 BC1,Biobío,Santa Bárbara,Avenida San Martín 599,Marcela Andrea Jara,432409939,marcela.jara@santabarbara.cl,SI,SI,SI,,
Biblioteca Pública 388 BC1,Biobío,Santa Juana,"Avenida José Cardenio Avello , Santa Juana 174",Yazmina Marisol Soraya Moscoso,412779519,bibliotecasantajuana@gmail.com,SI,SI,SI,,
Biblioteca Pública 270 BC1,Biobío,Tirúa,,Dina Marlit Carripan,412614098,b270bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 078 BC1,Biobío,Tucapel,"Avenida Independencia , Huepil 401",María Teresa Rivas,431974429,fflorespanes78@hotmail.com,N/S,N/S,N/S,,
Biblioteca Filial 078 BP1,Biobío,Tucapel,Avenida San Diego 359,Loren Luz Manosalva,968005882,b078bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 078 BP2,Biobío,Tucapel,Avenida Pedro Aguirre Cerda 130,Patricia Del Carmen Rubilar,,prubilarc@gmail.com,SI,SI,SI,,
Biblioteca Filial 078 BP3,Biobío,Tucapel,,Teresa Del Carmen Mora,968632876,b078bp3@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 141 BC1,La Araucanía,Angol,Avenida Vergara 367,Bernardita Arlette Riffo,452990728,b141bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 141 BP2,La Araucanía,Angol,Avenida Madison Winsconsin 2645,Juan Carlos Albarrán,973475145,b141bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 138 BC1,La Araucanía,Carahue,Avenida Manuel Montt 295,Rosa Margarita Soto,452681625,138bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 138 BP1,La Araucanía,Carahue,Avenida Prat 194,Albarita Alicia Rojas,962917484,b138bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 138 BP2,La Araucanía,Carahue,Avenida Romilio Adriazola 20,Elsa Enaldy González,964063153,b138bp2@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 301 BC1,La Araucanía,Cholchol,Avenida Lazcano 571,Elena Elisabeth Gallardo,452745348,b301bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 311 BC1,La Araucanía,Cunco,Avenida Santa María 12,María Elena Sandoval,977173589,b311bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 134 BC1,La Araucanía,Curacautín,Avenida Serrano 295,Olga Rosa Vizcarra,452881694,b134bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 356 BC1,La Araucanía,Curacautín,,Carmen Rosa Parra,962315148,b356bc1@abretumundo.cl,NO,SI,NO,,
Biblioteca Pública 345 BC1,La Araucanía,Curarrehue,Avenida Estadio esquina héroes de la concepción 0,Glenda Liz Infante,,b345bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 275 BC1,La Araucanía,Ercilla,Avenida Ongolmo 279,Héctor Eduardo Bórquez,452757348,b275bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 113 BC1,La Araucanía,Freire,Avenida Pedro Camalez 137,Hilda Haydée Sepúlveda,452973020,b113bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 113 BP1,La Araucanía,Freire,"Avenida Serrano , Quepe 162",Marjorie Eresnalda Carrasco,452759321,b113bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 113 BP2,La Araucanía,Freire,,José Marcelo Sandoval,982977807,b113bp2@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 119 BC1,La Araucanía,Galvarino,Avenida Independencia 354,Marcelo Alejandro Caro,452686430,b119bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 386 BC1,La Araucanía,Gorbea,Avenida Lord Cochrane 499,Patricia Del Pilar Sanhueza,452972092,b386bc1@aabretumundo.cl,SI,SI,SI,,
Biblioteca Pública 160 BC1,La Araucanía,Lautaro,Avenida Vicuña Mackenna 180,Mirta Noelia Duran,453242214,b160bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 081 BC1,La Araucanía,Loncoche,Avenida Manuel Bulnes 339,álvaro Mauricio San Martín,,b081bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 277 BC1,La Araucanía,Lonquimay,Avenida Condell 985,Cecilia Del Pilar Contreras,452656111,b277bc1@abretumundo.cl,N/S,N/S,N/S,,
Punto Préstamo 576 PP1,La Araucanía,Lonquimay,Calle Camino Internacional Icalma -Melipeuco ruta S61 0,,,,SI,SI,SI,,
Biblioteca Pública 303 BC1,La Araucanía,Los Sauces,Avenida Ercilla 148,Liliana Angélica Guidotti,,b303bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 385 BC1,La Araucanía,Lumaco,Avenida Balmaceda 376,Yilda Cid,,b385bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 112 BC1,La Araucanía,Nueva Imperial,Avenida Ernesto Riquelme 106,Gustavo Soto,452613025,b112bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 327 BC1,La Araucanía,Padre las Casas,Avenida Pleiteado 682,Milton Alejandro Garrido,,b327bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Filial 327 BP1,La Araucanía,Padre las Casas,"Calle La Ilusión, Villa el Edén (al Interior del edificio de la Delegación Municipal) 411",Claudia Ines Alvarez,,,SI,SI,SI,,
Biblioteca Pública 279 BC1,La Araucanía,Perquenco,Avenida 21 de Mayo 448 21448,Patricia Margot Müller,452756240,b279bc1@abreumundo.cl,SI,SI,SI,,
Biblioteca Pública 315 BC1,La Araucanía,Pitrufquén,Avenida Vicuña Mackenna 891,Melissa Soledad Saldía,959084514,b315bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 315 BP1,La Araucanía,Pitrufquén,Avenida Pje. La Carmelita 078,Fernando Alexi Echeverría,,b315bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 374 BC1,La Araucanía,Pucón,Avenida Los Castaños 51,Luz Marina Gayoso,452442587,b374bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 278 BC1,La Araucanía,Purén,Avenida Urrutia 213,Harold Adolfo Thiele,,b278@abretumundo.gob.cl,SI,SI,SI,,
Biblioteca Pública 280 BC1,La Araucanía,Renaico,Avenida Pedro de Valdivia . Población Los Conquistadores 370,Patricia Adriana Obreque,452774701,b280bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 280 BP1,La Araucanía,Renaico,,Marcela Andrea Montoya,452774655,b280bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 280 BP2,La Araucanía,Renaico,Calle Pedro de Valdivia 370,Valeska Del Carmen Díaz,452774655,b280bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 302 BC1,La Araucanía,Saavedra,,Eugenia Del Pilar Vivanco,452655320,b302bc1@abretumundo.cl,NO,SI,SI,,
Biblioteca Filial 302 BP1,La Araucanía,Saavedra,,Flor Emelina Cofré,954277073,b302bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 302 BP2,La Araucanía,Saavedra,,Julio Eduardo Chehuin,969024966,b302bp2@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 098 BC1,La Araucanía,Temuco,Avenida Arturo Prat 42,Rodrigo Antonio Hiriarte,988808185,rodrigo.hiriarte@temuco.cl,SI,SI,SI,,
Biblioteca Filial 098 BP2,La Araucanía,Temuco,"Avenida Puerto Edén , Villa Austral 1855",Yanette Eliana Correa,452281260,biblioteca.villaaustral@temuco.cl,SI,SI,SI,,
Biblioteca Filial 098 BP5,La Araucanía,Temuco,Avenida Curiñanco 40,Tatiana Del Carmen Palma,953712371,b300bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 300 BC1,La Araucanía,Temuco,"Avenida José del Rosario Muñoz (Plaza Cautín), Sector Pichicautin 490",Jessica Pamela Gaete,953712371,b300bc1@abretumundo.cl,NO,SI,NO,,
Biblioteca Pública 469 BC1,La Araucanía,Temuco,Calle Las Delicias 431,Sandra Caroll Godoy,452746425,sandra.godoyv@bibliotecasdibam.cl,SI,SI,SI,,
Biblioteca Pública 281 BC1,La Araucanía,Teodoro Schmidt,Avenida Balmaceda 380,Yasna Balboa,959087683,b281bc1@abretumundo.cl,SI,NO,SI,,
Biblioteca Filial 281 BP1,La Araucanía,Teodoro Schmidt,,Marlene Del Carmen Opazo,990055351,b281bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 281 BP2,La Araucanía,Teodoro Schmidt,,Erna Iris Varela,961807679,b281bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 276 BC1,La Araucanía,Toltén,Calle Los Copihues 575,Nelly Odett Chávez,452924515,b276bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 392 BC1,La Araucanía,Traiguén,Avenida Santa Cruz 632,Tamara Ximena Sepúlveda,452456621,b392bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 116 BC1,La Araucanía,Victoria,Avenida Ramirez 256,Adriana Del Carmen Villalobos,452598515,b116bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 274 BP1,La Araucanía,Vilcún,Avenida Libertad 313,Patricia Del Carmen Lillo,452566052,b274bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Filial 274 BP2,La Araucanía,Vilcún,"Avenida Gabriela Mistral , Cajón 145",Angélica Del Pilar Inaipil,452371112,b274bp2@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 072 BC1,La Araucanía,Villarrica,Avenida Pedro de Valdivia 1050,Roxana Del Carmen Díaz,452415706,b072bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Filial 072 BP1,La Araucanía,Villarrica,Calle Cacique Curiñanco 315,Maria Carolina Herrera,978872947,b072bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 002 BC1,Los Lagos,Ancud,Avenida Chacabuco 795,Kenneth Alexander Oyarzo,945126697,b002bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 023 BC1,Los Lagos,Calbuco,Calle Los Héroes 416,Mirta Eliana Vera,652461021,b023bc1@abretumundo.cl,N/S,N/s,N/s,,
Biblioteca Pública 003 BC1,Los Lagos,Castro,Avenida Chacabuco 410,Ignacio Esteban Ibáñez,652635076,b003bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 224 BC1,Los Lagos,Cochamó,,Susana Beatriz Urrutia,999397046,b224bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 371 BC1,Los Lagos,Cochamó,,Gloria Genoveva Ibáñez,996736484,b371bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 363 BC1,Los Lagos,Fresia,Avenida San carlos 102,Andrea Bernardita Villalobos,935377221,b363bc1@abretumundo.cl,NO,SI,SI,,
Biblioteca Pública 320 BC1,Los Lagos,Frutillar,Avenida Cristino Winkler 798,Mónica Raquel González,652421471,b320bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 334 BC1,Los Lagos,Futaleufú,Avenida Bernardo O'Higgins 596,Ruth Fidela Vallejos,993700125,b334bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 200 BC1,Los Lagos,Hualaihué,,Alejandra Soledad Leutún,961817323,b200bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 372 BC1,Los Lagos,Llanquihue,Avenida Vicente Perez Rosales 226,María Angélica Reyes,652244553,b372bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 396 BC1,Los Lagos,Los Muermos,,Enolfa Del Carmen Ojeda,652211702,enolfiss@gmail.com,SI,SI,SI,,
Biblioteca Pública 204 BC1,Los Lagos,Maullín,Avenida de Mayo s/n 21,Camilo Andrés Navarro,652220217,b204bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 080 BC1,Los Lagos,Osorno,"Avenida Juan de Dios Hernández s/n, Rahue Alto S/I",Maritza Lourdes Mayer,642203185,b080bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 202 BC1,Los Lagos,Osorno,Avenida Rene Schneider 2236,Claudio Marcelo Lorca,958830528,b202bc1@abretumundo.cl,N/S,N/S,N/S,,
Biblioteca Pública 574 BC1,Los Lagos,Osorno,Calle Los Melíes s/n 0,Juan Carlos Uribe,642251348,juan.uribe@imo.cl,SI,NO ,SI,,
Biblioteca Pública 360 BC1,Los Lagos,Palena,"Avenida Pedro Montt s/n, Esquina Gral. Urrutia s/i",Tamara Fabiola Urzúa,652741438,b360bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Regional 048 BC1,Los Lagos,Puerto Montt,Avenida Quillota 113,,,,N/S,N/S,N/s,,
Biblioteca Pública 135 BC1,Los Lagos,Puerto Montt,"Avenida Camino Lago Chapo Km , Correntoso 32",Joaquín Ignacio Aubá,951270938,b135bc1@abretumundo.cl,N/S,N/S,N/S},,
Punto Préstamo 516 PP1,Los Lagos,Puerto Montt,Avenida La Cruz 1992,Huguette Angélica Silva,652482657,hugett7@gmail.com,N/s,N/S,N/S},,
Biblioteca Pública 578 BC1,Los Lagos,Puerto Montt,Calle Isla Robinson Crusoe 6369,Julia Belén Miranda,,b.rutaeltepual@gmail.com,SI,SI,SI,,
Biblioteca Pública 198 BC1,Los Lagos,Puerto Octay,Avenida Independencia 591,Víctor Eduardo Vidal,642391523,b198bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 205 BC1,Los Lagos,Puerto Varas,Avenida Del Salvador 338 Piso 2 338,Cristian Rubén Saldivia,652361237,b205bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 145 BC1,Los Lagos,Purranque,,Gloria Inés Almonacid,656523456,b145bc1@abretumundo.cl,N/S,N/S,N/S},,
Biblioteca Pública 199 BC1,Los Lagos,Puyehue,,Patricia Lagos,642218351,b199bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 333 BC1,Los Lagos,Queilén,,Liliana Del Carmen Morales,652535351,b333bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 093 BC1,Los Lagos,Quellón,Avenida 22 de Mayo 389 22389,Robinson Adrián Vargas,652680598,b093bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 151 BC1,Los Lagos,Quemchi,Avenida Yungay 22,Catalina Andrea Castillo,652691469,b151bc1@abretumundo.cl,N/s,N/S,N/S},,
Biblioteca Filial 151 BP1,Los Lagos,Quemchi,Avenida Mechuque s/n 000,Camila Ninosca Cárcamo,652691413,b151bp1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 210 BC1,Los Lagos,Quinchao,"Avenida Serrano , Achao 66",David Godofredo Bustamante,652661169,b210bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 137 BC1,Los Lagos,Río Negro,Avenida Arturo Prat 575,Víctor Marcelo Adriazola,642362217,b137bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 197 BC1,Los Lagos,San Juan de la Costa,Avenida Puaucho s/n S/I,Ulda Inés Vargas,958168063,b197bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 325 BC1,Los Lagos,San Pablo,Avenida Bolivia 577,Zulema Del Carmen Villanueva,977401812,b325bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 149 BC1,Aysén del General Carlos Ibáñez del Campo,Aisén,Avenida Bernardo O'Higgins 585,Yasna Minerva Jara,672336627,yjara@puertoaysen.cl,NO,SI,SI,,
Biblioteca Filial 149 BP1,Aysén del General Carlos Ibáñez del Campo,Aisén,"Calle Eusebio Ibar S/N, Villa Mañihuales 000",Pía Fiona Ehijos,963274798,pehijos@puertoaysen.cl,SI,SI,SI,,
Biblioteca Pública 285 BC1,Aysén del General Carlos Ibáñez del Campo,Chile Chico,Calle Pedro Burgos 335,Verónica Cecilia Díaz,672411355,biblioteca@chilechico.cl,SI,SI,SI,,
Biblioteca Pública 150 BC1,Aysén del General Carlos Ibáñez del Campo,Cisnes,Avenida Rafael Sotomayor 191,Yesenia Pilar Espinoza,966075917,yesenia.espinoza@municipalidadcisnes.cl,NO,SI,NO,,
Biblioteca Filial 150 BP1,Aysén del General Carlos Ibáñez del Campo,Cisnes,Avenida 05 De Abril Con Antonio Varas S/N 5,Zulema Del Carmen Soto,672314167,bibliotecalajunta@gmail.com,NO,SI,NO,,
Biblioteca Filial 150 BP2,Aysén del General Carlos Ibáñez del Campo,Cisnes,Avenida Otto Eubel S/N 000,Luisa Del Carmen Legue,672325244,biblioteca.puyuhuapi@municipalidadcisnes.cl,SI,SI,SI,,
Biblioteca Pública 284 BC1,Aysén del General Carlos Ibáñez del Campo,Cochrane,Avenida San Valentin 551,Otilia Del Carmen Bascuñán,672522595,otilia_597@hotmail.com,NO,SI,SI,,
Biblioteca Regional 052 BC1,Aysén del General Carlos Ibáñez del Campo,Coihaique,Avenida Lord Cochrane 233,,,,SI,SI,SI,,
Biblioteca Filial 052 BP1,Aysén del General Carlos Ibáñez del Campo,Coihaique,"Avenida Mackenna s/n ,Balmaceda s/n",Ada Luz Díaz,973201938,adaldiazb@gmail.com,NO,SI,NO,,
Biblioteca Filial 052 BP2,Aysén del General Carlos Ibáñez del Campo,Coihaique,"Avenida Ruta X-445, Villa Ortega, S/N s/n",Macarena Joselyn Aguilar,975148099,villaortegabiblioteca@gmail.com,NO,SI,NO,,
Biblioteca Filial 052 BP3,Aysén del General Carlos Ibáñez del Campo,Coihaique,Avenida Clodomiro Millar Manque S/ 000,Irene Paola Jara,983641515,irenedelvalle@outlook.com,NO,SI,NO,,
Biblioteca Filial 052 BP4,Aysén del General Carlos Ibáñez del Campo,Coihaique,Avenida Larga s/n 000,Maritza Raquel Vega,973868534,museo.valledelaluna@gmail.com,N/S,N/S,N/S,,
Punto Préstamo 583 PP1,Aysén del General Carlos Ibáñez del Campo,Coihaique,Avenida Ogana 1048,Cecilia Jacqueline Díaz,926314559,ceciliajdiazcarcamo@gmail.com,SI,SI,SI,,
Biblioteca Pública 185 BC1,Aysén del General Carlos Ibáñez del Campo,Guaitecas,"Avenida Costanera s/n, Melinka 000",Angélica Andrea Pichinao,956913761,apichinao@muniguaitecas.cl,SI,SI,SI,,
Biblioteca Pública 286 BC1,Aysén del General Carlos Ibáñez del Campo,Lago Verde,Avenida Trapananda s/n 000,,,,NO,SI,NO,,
Biblioteca Filial 286 BP1,Aysén del General Carlos Ibáñez del Campo,Lago Verde,Avenida Carmen Arias s/n esquina Francisca Castro 000,,,,SI,SI,SI,,
Biblioteca Pública 314 BC1,Aysén del General Carlos Ibáñez del Campo,O’Higgins,Avenida Lago Christie s/n 000,Evelyn Lorena Soto,672431881,e.soto@municipalidadohiggins.cl,SI,SI,SI,,
Biblioteca Pública 283 BC1,Aysén del General Carlos Ibáñez del Campo,Río Ibáñez,Calle Padre Antonio Ronchi 159,,,,NO,SI,NO,,
Biblioteca Filial 283 BP1,Aysén del General Carlos Ibáñez del Campo,Río Ibáñez,Avenida O'higgins esquina Manuel Montt s/n,Malva Rocío Hueytra,965938826,malva.rhu@gmail.com,NO,SI,NO,,
Biblioteca Filial 283 BP2,Aysén del General Carlos Ibáñez del Campo,Río Ibáñez,Avenida Los Arrayanes S/N,Daniela Solange Berrocal,942388193,bibliotranquilo@rioibanez.cl,SI,SI,SI,,
Biblioteca Pública 282 BC1,Aysén del General Carlos Ibáñez del Campo,Tortel,"Avenida Sector Base s/n, Caleta Tortel 000",Alejandro Enrique Moreno,946510167,amorenou89@gmail.com,SI,NO,SI,,
Biblioteca Pública 012 BC1,Magallanes y de la Antártica Chilena,Cabo de Hornos,"Avenida Yelcho , Puerto Williams 154",Luis Conrado González,997894289,b12bc1@abretumundo.cl,NO,NO,SI,,
Biblioteca Pública 014 BC1,Magallanes y de la Antártica Chilena,Natales,Avenida Pillipi 510,Arnaldo Javier Montenegro,612412313,arnaldo.montenegro@bibliotecaspublicas.gob.cl,N/S,N/S,N/S,,
Biblioteca Pública 191 BC1,Magallanes y de la Antártica Chilena,Natales,,Romina Alejandra Pizarro,934524184,escuelammontecinos@cormunat.cl,N/S,N/S,N/S,,
Biblioteca Pública 514 BC1,Magallanes y de la Antártica Chilena,Primavera,Calle Carlos Chacón s/n,Palmira Doraliza Del Carmen Vargas,953341731,museo@muniprimavera.cl,N/S,N/S,N/S,,
Biblioteca Pública 368 BC1,Magallanes y de la Antártica Chilena,Punta Arenas,Avenida 21 de mayo 1531 211531,,,,N/S,N/s,N/S,,
Punto Préstamo 568 PP1,Magallanes y de la Antártica Chilena,Timaukel,Calle Villa Cameron S/N 0,Mariela Ghislayne Sobarzo,942431288,secretaria.alcaldia@municipalidadtimaukel.cl,N/S,NO,SI,,
Biblioteca Pública 016 BC1,Magallanes y de la Antártica Chilena,Torres del Paine,"Avenida El Carretero s/n, Villa Cerro Castillo s/n",Ivonne Mariluz Lucero,612210573,biblioteca16@munitorresdelpaine.cl,NO,SI,SI,,
Biblioteca Pública 188 BC1,Metropolitana de Santiago,Alhué,Avenida Bernardo O'higgins s/n S/N,,,,SI,SI,SI,,
Biblioteca Pública 030 BC1,Metropolitana de Santiago,Buin,Calle Carlos Condell 501,María Margarita Ramírez,959131659,maramirez@buin.cl,SI,SI,SI,,
Biblioteca Pública 042 BC1,Metropolitana de Santiago,Buin,Avenida Clemente Diaz 584,Rodrigo Andrés Romero,972177412,rromeroo@buin.cl,SI,SI,SI,,
Biblioteca Pública 054 BC1,Metropolitana de Santiago,Calera de Tango,"Calle Calera de Tango, Paradero , Centro Cívico 6",Elisarda Ester Escobar,228551387,b054bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 399 BC1,Metropolitana de Santiago,Cerrillos,Avenida Camino a Lonquén 7518,Carlos Alberto Peña,229036901,b399bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 102 BC1,Metropolitana de Santiago,,"Avenida Mapocho 7360, 2° piso 7360",Lorena Andrea Araya,223804132,lorena.araya@cerronavia.cl,SI,SI,SI,,
Biblioteca Pública 032 BC1,Metropolitana de Santiago,Colina,Avenida Pedro Aguirre Cerda 07,Pilar Andrea Chacama,949590815,pchacama@corporacioncolina.cl,NO,SI,SI,,
Biblioteca Pública 037 BC1,Metropolitana de Santiago,Curacaví,Avenida Ambrosio OHiggins 1253,Carolina Del Carmen Moreno,222992171,biblioteca@municipalidadcuracavi.cl,SI,SI,SI,,
Biblioteca Pública 187 BC1,Metropolitana de Santiago,El Bosque,Avenida Eleuterio Ramirez 10264,Carlos Edmundo Leiva,925271804,carlos.leiva@municipalidadelbosque.cl,SI,SI,SI,,
Biblioteca Pública 189 BC1,Metropolitana de Santiago,El Monte,"Calle Independencia , Galería El Ángel Local F 80",Ana Elisa Gómez,225609750,b189bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 103 BC1,Metropolitana de Santiago,Estación Central,Avenida Manuel Thompson 4308,álvaro Fidel Monge,227766436,alvaromonge@estacioncentral.cl,NO,SI,SI,,
Punto Préstamo 600 PP1,Metropolitana de Santiago,Estación Central,Avenida Hogar de Cristo 3812,Victoria Patricia Guajardo,971410720,vguajardo@hogardecristo.cl,SI,SI,SI,,
Biblioteca Pública 310 BC1,Metropolitana de Santiago,Huechuraba,Avenida Recoleta 5640,Gilda Paola Zúñiga,224850831,gilda.zuniga@eduacionhuechuraba.cl,SI,SI,SI,,
Biblioteca Pública 413 BC1,Metropolitana de Santiago,Independencia,Avenida Profesor Zañartu 1185,Isidora Moulian,951788590,imoulian@independenciacultural.cl,SI,SI,SI,,
Biblioteca Pública 196 BC1,Metropolitana de Santiago,Isla de Maipo,Calle Santelices 157,María Soledad Lillo,228769156,mlillo@islademaipo.cl,NO,SI,SI,,
Biblioteca Pública 357 BC1,Metropolitana de Santiago,Isla de Maipo,"Avenida Camino las Guías , Sector La Llaveria, San Vicente De Naltahua 5049",Julia Beatriz Berger,985147918,beatrizbergers@gmail.com,NO,SI,SI,,
Biblioteca Pública 309 BC1,Metropolitana de Santiago,La Cisterna,Avenida Gran Avenida José Miguel Carrera 8585A,Maximiliano Ross,954014205,tallereshistdearte@gmail.com,N/S,N/s,N/S,,
Módulo Bibliometro 400 PP14,Metropolitana de Santiago,La Cisterna,Avenida Américo Vespucio con Corredor Gran Avenida,,,,SI,SI,SI,,
Biblioteca Pública 115 BC1,Metropolitana de Santiago,La Florida,Avenida Américo Vespucio 7607,Macarena Escudero,225054737,mescudero@laforida.cl,N/s,N/S,N/s,,
Módulo Bibliometro 400 PP1,Metropolitana de Santiago,La Florida,Avenida Vicuña Mackenna Oriente con Serafín Zamora,,,,SI,SI,SI,,
Biblioteca Pública 028 BC1,Metropolitana de Santiago,La Granja,"Avenida San Gregorio (Centro Vasco, entrada por Serena) 494",Margarita Durban,992990245,margaritadurban@gmail.com,SI,SI,SI,,
Biblioteca Pública 294 BC1,Metropolitana de Santiago,La Pintana,Avenida Anibal Pinto 12952,Olga Vilma Rodríguez,223896953,b294bc1@abretumundo.cl,SI,SI,SI,,
Biblioteca Pública 183 BC1,Metropolitana de Santiago,La Reina,Avenida Larraín 8580,Ema Leonor Sáez,971514915,esaez@culturalareina.cl,SI,SI,SI,,
Biblioteca Pública 101 BC1,Metropolitana de Santiago,Lampa,Avenida Sargento Aldea 898,Luz Del Pilar González,226568651,bibliotecamunicipal@lampa.cl,NO,SI,NO,,
Módulo Bibliometro 400 PP18,Metropolitana de Santiago,Las Condes,,,,,N/s,N/S,N/s,,
Módulo Bibliometro 400 PP22,Metropolitana de Santiago,Las Condes,Avenida Apoquindo con Patagonia,,,,NO,SI,SI,,
Biblioteca Pública 069 BC1,Metropolitana de Santiago,Lo Barnechea,Calle Barnechea 1174,Carlos Fernando Cuevas,927543877,ccuevas@lobarnecheacultura.cl,SI,SI,SI,,
Biblioteca Pública 096 BC1,Metropolitana de Santiago,Lo Espejo,Avenida av.central (cardenal raul silva henriquez 7140,Daniela Paz Urbina,976466935,Daniela.urbina97@gmail.com,SI,SI,SI,,
Biblioteca Pública 021 BC1,Metropolitana de Santiago,Lo Prado,"Avenida Paseo de las Artes 880, Alt. Metro Lo Prado, Línea 5 8805",Rosa Elena Osorio,223887478,rosa.osorio@loprado.cl,N/s,N/S,N/S,,
Módulo Bibliometro 400 PP19,Metropolitana de Santiago,Lo Prado,Calle San Pablo con Neptuno,,,,N/s,N/s,N/s,,
Módulo Bibliometro 400 PP2,Metropolitana de Santiago,Lo Prado,Avenida Estación Metro San Pablo,,,,N/S,N/S,N/s,,
Módulo Bibliometro 400 PP21,Metropolitana de Santiago,Macul,Avenida Américo Vespucio con Departamental,,,,NO,SI,SI,,
